2.255 2 BARO_RAW 0. 0.
2.258 2 IMU_MAG_RAW -220 -546 139
2.262 2 IMU_GYRO_RAW -22 201 59
2.265 2 IMU_ACCEL_RAW 28 2184 66
2.303 2 IMU_MAG_RAW -220 -546 139
2.306 2 IMU_GYRO_RAW 101 207 47
2.310 2 IMU_ACCEL_RAW -23 2199 -86
2.354 2 DL_VALUE 0 3.
2.358 2 IMU_MAG_RAW -220 -546 139
2.361 2 IMU_GYRO_RAW 71 446 32
2.364 2 IMU_ACCEL_RAW 166 2212 -51
2.403 2 IMU_MAG_RAW -220 -546 139
2.406 2 IMU_GYRO_RAW 146 455 -20
2.410 2 IMU_ACCEL_RAW 123 1978 -155
2.453 2 IMU_MAG_RAW -220 -546 139
2.456 2 IMU_GYRO_RAW 157 358 4
2.459 2 IMU_ACCEL_RAW 66 1849 -132
2.503 2 IMU_MAG_RAW -220 -546 139
2.506 2 IMU_GYRO_RAW 203 226 15
2.509 2 IMU_ACCEL_RAW -3 1864 -213
2.553 2 IMU_MAG_RAW -220 -546 139
2.556 2 IMU_GYRO_RAW 187 174 11
2.559 2 IMU_ACCEL_RAW 32 2065 -200
2.603 2 IMU_MAG_RAW -220 -546 139
2.607 2 IMU_GYRO_RAW 184 228 -101
2.610 2 IMU_ACCEL_RAW 132 2135 -241
2.654 2 IMU_MAG_RAW -220 -546 139
2.657 2 IMU_GYRO_RAW 107 411 -169
2.660 2 IMU_ACCEL_RAW 103 2125 -263
2.703 2 IMU_MAG_RAW -220 -546 139
2.706 2 IMU_GYRO_RAW 84 569 -203
2.709 2 IMU_ACCEL_RAW 147 2152 -288
2.756 2 BARO_RAW 0. 0.
2.758 2 IMU_MAG_RAW -220 -546 139
2.761 2 IMU_GYRO_RAW 3 596 -188
2.765 2 IMU_ACCEL_RAW 27 2135 -268
2.803 2 IMU_MAG_RAW -220 -546 139
2.807 2 IMU_GYRO_RAW -35 606 -161
2.809 2 IMU_ACCEL_RAW -41 2087 -254
2.818 2 DOWNLINK_STATUS 0 3 3451 195 0 1153. 65. 0.
2.854 2 DL_VALUE 1 0.
2.857 2 IMU_MAG_RAW -220 -546 139
2.860 2 IMU_GYRO_RAW -68 684 -135
2.863 2 IMU_ACCEL_RAW -101 1910 -298
2.903 2 IMU_MAG_RAW -220 -546 139
2.906 2 IMU_GYRO_RAW -89 836 -72
2.909 2 IMU_ACCEL_RAW -102 1925 -387
2.953 2 IMU_MAG_RAW -220 -546 139
2.956 2 IMU_GYRO_RAW -155 871 -53
2.959 2 IMU_ACCEL_RAW -58 1944 -383
3.003 2 IMU_MAG_RAW -220 -546 139
3.006 2 IMU_GYRO_RAW -190 757 -57
3.009 2 IMU_ACCEL_RAW -50 2033 -382
3.053 2 IMU_MAG_RAW -220 -546 139
3.056 2 IMU_GYRO_RAW -221 551 -63
3.059 2 IMU_ACCEL_RAW 17 2142 -315
3.077 2 FBW_STATUS 2 0 1 166 0
3.103 2 IMU_MAG_RAW -220 -546 139
3.106 2 IMU_GYRO_RAW -169 31 -55
3.109 2 IMU_ACCEL_RAW 70 2170 -248
3.153 2 IMU_MAG_RAW -220 -546 139
3.156 2 IMU_GYRO_RAW -126 -494 -61
3.161 2 IMU_ACCEL_RAW 121 2109 -135
3.203 2 IMU_MAG_RAW -220 -546 139
3.206 2 IMU_GYRO_RAW -87 -544 -84
3.209 2 IMU_ACCEL_RAW 170 2077 -16
3.255 2 BARO_RAW 0. 0.
